PT,TM,HG
47976.5101,46.7114094,18288.6789
47976.5101,46.9295302,18479.0833
47976.5101,47.1476510,18669.5265
47976.5101,47.3657718,18860.0085
47976.5101,47.5838926,19050.5293
47976.5101,47.8020134,19241.0890
47976.5101,48.0201342,19431.6875
47976.5101,48.2382550,19622.3248
47976.5101,48.4563758,19813.0010
47976.5101,48.6744966,20003.7161
47976.5101,48.8926174,20194.4700
47976.5101,49.1107383,20385.2628
47976.5101,49.3288591,20576.0945
47976.5101,49.5469799,20766.9650
47976.5101,49.7651007,20957.8745
47976.5101,49.9832215,21148.8228
47976.5101,50.2013423,21339.8101
47976.5101,50.4194631,21530.8362
47976.5101,50.6375839,21721.9013
47976.5101,50.8557047,21913.0053
47976.5101,51.0738255,22104.1483
47976.5101,51.2919463,22295.3302
47976.5101,51.5100671,22486.5510
47976.5101,51.7281879,22677.8107
47976.5101,51.9463087,22869.1095
47976.5101,52.1644295,23060.4471
47976.5101,52.3825503,23251.8238
47976.5101,52.6006711,23443.2394
47976.5101,52.8187919,23634.6940
47976.5101,53.0369128,23826.1876
47976.5101,53.2550336,24017.7201
47976.5101,53.4731544,24209.2916
47976.5101,53.6912752,24400.9022
47976.5101,53.9093960,24592.5517
47976.5101,54.1275168,24784.2403
47976.5101,54.3456376,24975.9678
47976.5101,54.5637584,25167.7344
47976.5101,54.7818792,25359.5400
47976.5101,55.0000000,25551.3846
94953.0201,-10.000000,-30071.767
94953.0201,-9.7818792,-29893.428
94953.0201,-9.5637584,-29715.042
94953.0201,-9.3456376,-29536.609
94953.0201,-9.1275168,-29358.130
94953.0201,-8.9093960,-29179.604
94953.0201,-8.6912752,-29001.032
94953.0201,-8.4731544,-28822.412
94953.0201,-8.2550336,-28643.746
94953.0201,-8.0369128,-28465.033
94953.0201,-7.8187919,-28286.274
94953.0201,-7.6006711,-28107.467
94953.0201,-7.3825503,-27928.614
94953.0201,-7.1644295,-27749.714
94953.0201,-6.9463087,-27570.768
94953.0201,-6.7281879,-27391.774
94953.0201,-6.5100671,-27212.734
94953.0201,-6.2919463,-27033.647
94953.0201,-6.0738255,-26854.513
94953.0201,-5.8557047,-26675.332
94953.0201,-5.6375839,-26496.105
94953.0201,-5.4194631,-26316.831
94953.0201,-5.2013423,-26137.509
94953.0201,-4.9832215,-25958.141
94953.0201,-4.7651007,-25778.727
94953.0201,-4.5469799,-25599.265
94953.0201,-4.3288591,-25419.757
94953.0201,-4.1107383,-25240.201
94953.0201,-3.8926174,-25060.599
94953.0201,-3.6744966,-24880.950
94953.0201,-3.4563758,-24701.254
94953.0201,-3.2382550,-24521.511
94953.0201,-3.0201342,-24341.722
94953.0201,-2.8020134,-24161.885
94953.0201,-2.5838926,-23982.002
94953.0201,-2.3657718,-23802.071
94953.0201,-2.1476510,-23622.094
94953.0201,-1.9295302,-23442.070
94953.0201,-1.7114094,-23261.999
94953.0201,-1.4932886,-23081.881
94953.0201,-1.2751678,-22901.717
94953.0201,-1.0570470,-22721.505
94953.0201,-.83892617,-22541.246
94953.0201,-.62080537,-22360.941
94953.0201,-.40268456,-22180.588
94953.0201,-.18456376,-22000.189
94953.0201,.033557047,-21819.743
94953.0201,.251677852,-21639.250
94953.0201,.469798658,-21458.710
94953.0201,.687919463,-21278.123
94953.0201,.906040268,-21097.489
94953.0201,1.12416107,-20916.808
94953.0201,1.34228188,-20736.080
94953.0201,1.56040268,-20555.305
94953.0201,1.77852349,-20374.484
94953.0201,1.99664430,-20193.615
94953.0201,2.21476510,-20012.700
94953.0201,2.43288591,-19831.737
94953.0201,2.65100671,-19650.728
94953.0201,2.86912752,-19469.671
94953.0201,3.08724832,-19288.568
94953.0201,3.30536913,-19107.418
94953.0201,3.52348993,-18926.220
94953.0201,3.74161074,-18744.976
94953.0201,3.95973154,-18563.685
94953.0201,4.17785235,-18382.347
94953.0201,4.39597315,-18200.962
94953.0201,4.61409396,-18019.530
94953.0201,4.83221477,-17838.051
94953.0201,5.05033557,-17656.525
94953.0201,5.26845638,-17474.953
94953.0201,5.48657718,-17293.333
94953.0201,5.70469799,-17111.666
94953.0201,5.92281879,-16929.953
94953.0201,6.14093960,-16748.192
94953.0201,6.35906040,-16566.384
94953.0201,6.57718121,-16384.530
94953.0201,6.79530201,-16202.629
94953.0201,7.01342282,-16020.680
94953.0201,7.23154362,-15838.685
94953.0201,7.44966443,-15656.642
94953.0201,7.66778523,-15474.553
94953.0201,7.88590604,-15292.417
94953.0201,8.10402685,-15110.234
94953.0201,8.32214765,-14928.004
94953.0201,8.54026846,-14745.727
94953.0201,8.75838926,-14563.403
94953.0201,8.97651007,-14381.032
94953.0201,9.19463087,-14198.614
94953.0201,9.41275168,-14016.149
94953.0201,9.63087248,-13833.638
94953.0201,9.84899329,-13651.079
94953.0201,10.0671141,-13468.473
94953.0201,10.2852349,-13285.821
94953.0201,10.5033557,-13103.122
94953.0201,10.7214765,-12920.375
94953.0201,10.9395973,-12737.582
94953.0201,11.1577181,-12554.742
94953.0201,11.3758389,-12371.855
94953.0201,11.5939597,-12188.921
94953.0201,11.8120805,-12005.940
94953.0201,12.0302013,-11822.912
94953.0201,12.2483221,-11639.837
94953.0201,12.4664430,-11456.715
94953.0201,12.6845638,-11273.547
94953.0201,12.9026846,-11090.331
94953.0201,13.1208054,-10907.069
94953.0201,13.3389262,-10723.760
94953.0201,13.5570470,-10540.403
94953.0201,13.7751678,-10357.000
94953.0201,13.9932886,-10173.550
94953.0201,14.2114094,-9990.0535
94953.0201,14.4295302,-9806.5098
94953.0201,14.6476510,-9622.9192
94953.0201,14.8657718,-9439.2818
94953.0201,15.0838926,-9255.5974
94953.0201,15.3020134,-9071.8663
94953.0201,15.5201342,-8888.0882
94953.0201,15.7382550,-8704.2633
94953.0201,15.9563758,-8520.3916
94953.0201,16.1744966,-8336.4729
94953.0201,16.3926174,-8152.5075
94953.0201,16.6107383,-7968.4952
94953.0201,16.8288591,-7784.4361
94953.0201,17.0469799,-7600.3301
94953.0201,17.2651007,-7416.1773
94953.0201,17.4832215,-7231.9777
94953.0201,17.7013423,-7047.7313
94953.0201,17.9194631,-6863.4381
94953.0201,18.1375839,-6679.0980
94953.0201,18.3557047,-6494.7112
94953.0201,18.5738255,-6310.2775
94953.0201,18.7919463,-6125.7971
94953.0201,19.0100671,-5941.2698
94953.0201,19.2281879,-5756.6958
94953.0201,19.4463087,-5572.0750
94953.0201,19.6644295,-5387.4074
